,1 2 1082040961
0,3 4 1082155839
1,5 2 1082414391
2,6 7 1082439619
3,8 7 1082439756
4,9 10 1082440403
5,9 11 1082440453
6,12 13 1082441188
7,9 14 1082441754
8,9 15 1082441824
9,9 16 1082441895
10,9 17 1082442153
11,9 14 1082442328
12,9 18 1082442560
13,19 18 1082443023
14,20 21 1082444944
15,19 22 1082450074
16,8 23 1082450243
17,9 24 1082450645
18,9 22 1082450656
19,25 21 1082467089
20,26 7 1082481125
21,27 28 1082490240
22,29 25 1082504083
23,30 31 1082517506
24,30 31 1082517511
25,30 31 1082517513
26,30 31 1082517516
27,32 33 1082518023
28,34 35 1082525530
29,34 33 1082525718
30,36 37 1082530949
31,38 39 1082538849
32,36 40 1082539557
33,41 15 1082540305
34,41 11 1082540354
35,41 14 1082540462
36,41 13 1082540496
37,41 39 1082541442
38,41 42 1082574211
39,41 43 1082576344
40,9 40 1082583700
41,44 45 1082585468
42,46 22 1082587705
43,44 46 1082588222
44,47 46 1082588508
45,48 46 1082589483
46,9 49 1082596555
47,36 50 1082597715
48,44 51 1082597751
49,32 52 1082598056
50,36 32 1082598122
51,53 54 1082598395
52,36 55 1082598545
53,56 57 1082598548
54,36 32 1082598685
55,36 58 1082598765
56,44 59 1082598920
57,51 58 1082598934
58,44 14 1082599072
59,36 56 1082599376
60,36 60 1082599717
61,56 61 1082600068
62,62 50 1082600409
63,36 60 1082600787
64,32 59 1082601455
65,36 60 1082601872
66,36 50 1082601913
67,41 63 1082602619
68,41 64 1082602668
69,41 65 1082602682
70,41 56 1082602700
71,41 61 1082602761
72,41 43 1082602778
73,41 52 1082602807
74,41 58 1082602838
75,41 59 1082603068
76,9 64 1082603124
77,9 58 1082603179
78,12 66 1082603219
79,32 58 1082603266
80,12 66 1082603268
81,67 32 1082603514
82,41 32 1082603571
83,67 32 1082603649
84,32 68 1082603681
85,68 56 1082603850
86,67 32 1082603868
87,67 32 1082603999
88,68 61 1082604018
89,67 32 1082604079
90,67 8 1082604696
91,69 67 1082605390
92,70 51 1082607167
93,44 50 1082607289
94,67 32 1082608354
95,71 58 1082608405
96,71 72 1082608481
97,51 58 1082608509
98,72 71 1082609249
99,73 74 1082609649
100,74 73 1082609719
101,73 74 1082609913
102,74 73 1082609972
103,34 58 1082610114
104,44 75 1082610117
105,44 75 1082610241
106,9 58 1082610294
107,73 74 1082610332
108,9 76 1082610339
109,32 77 1082611326
110,41 76 1082612106
111,41 78 1082612122
112,79 48 1082612494
113,79 63 1082612535
114,41 80 1082612618
115,79 58 1082612664
116,41 81 1082612672
117,79 70 1082612947
118,19 82 1082613371
119,19 72 1082613444
120,12 32 1082613466
121,19 64 1082613910
122,19 58 1082614030
123,19 58 1082614035
124,19 58 1082614037
125,19 52 1082614388
126,83 59 1082614460
127,51 70 1082614477
128,38 58 1082614831
129,41 58 1082616043
130,63 79 1082616085
131,41 63 1082616093
132,67 59 1082616359
133,41 63 1082616735
134,41 58 1082617102
135,44 84 1082617666
136,19 85 1082618206
137,19 72 1082618294
138,3 84 1082619042
139,19 8 1082619196
140,19 58 1082619271
141,84 86 1082619833
142,83 58 1082620003
143,36 60 1082620032
144,86 48 1082620231
145,87 63 1082620509
146,36 88 1082620689
147,87 8 1082620950
148,36 89 1082621383
149,90 56 1082621402
150,36 90 1082621459
151,36 84 1082621518
152,91 92 1082621575
